semantic_field,concepticon_id1,concepticon_gloss1,concepticon_id2,concepticon_gloss2,evidence
Agriculture and vegetation,641,mushroom,60,oat,16
Agriculture and vegetation,1204,bark,605,grain,8
Agriculture and vegetation,1486,plant,605,grain,9
Agriculture and vegetation,606,grass,605,grain,8
Agriculture and vegetation,641,mushroom,605,grain,9
Agriculture and vegetation,1204,bark,606,grass,1
Agriculture and vegetation,641,mushroom,606,grass,1
Agriculture and vegetation,1204,bark,644,oak,16
Agriculture and vegetation,345,sap,644,oak,15
Agriculture and vegetation,641,mushroom,644,oak,16
Agriculture and vegetation,1204,bark,653,plant,6
Agriculture and vegetation,1689,smoke,653,plant,6
Agriculture and vegetation,345,sap,653,plant,5
Agriculture and vegetation,641,mushroom,653,plant,6
Agriculture and vegetation,974,tobacco,653,plant,6
Agriculture and vegetation,1204,bark,748,sow seeds,2
Agriculture and vegetation,1486,plant,748,sow seeds,1
Agriculture and vegetation,641,mushroom,748,sow seeds,2
Agriculture and vegetation,641,mushroom,864,pumpkin,3
Agriculture and vegetation,641,mushroom,868,banana,4
Agriculture and vegetation,641,mushroom,925,cassava,13
Agriculture and vegetation,864,pumpkin,925,cassava,11
Agriculture and vegetation,1204,bark,926,rice,3
Agriculture and vegetation,1486,plant,926,rice,2
Agriculture and vegetation,1689,smoke,926,rice,2
Agriculture and vegetation,641,mushroom,926,rice,3
Agriculture and vegetation,974,tobacco,926,rice,2
Agriculture and vegetation,1204,bark,932,barley,11
Agriculture and vegetation,1486,plant,932,barley,9
Agriculture and vegetation,606,grass,932,barley,10
Agriculture and vegetation,641,mushroom,932,barley,11
