concepticon_id,name,description,pwn_synset,wordnet_gloss,wordnet_definition
479,grow,(For a living being) To become bigger.,v00231557,grow,"increase in size by natural process; ""Corn doesn't grow here""; ""In these forests, mushrooms grow under the trees""; ""her hair doesn't grow much anymore"""
1506,measure,To ascertain the quantity of a unit of material via calculated comparison with respect to a standard.,v00647094,measure//mensurate//measure out,"determine the measurements of something or somebody, take measurements of; ""Measure the length of the wall"""
81,fathom,"A linear unit of measurement, equal to 6 feet, for water depth.",n13660178,fathom//fthm,a linear unit of measurement (equal to 6 feet) for water depth
1202,big,Of a great size.,a01382086,large//big,"above average in size or number or quantity or magnitude or extent; ""a large city""; ""set out for the big city""; ""a large sum""; ""a big (or large) barn""; ""a large family""; ""big businesses""; ""a big expenditure""; ""a large number of newspapers""; ""a big group of scientists""; ""large areas of the world"""
1246,small,Not large or big; small in size.,a01391351,small//little,"limited or below average in number or quantity or magnitude or extent; ""a little dining room""; ""a little house""; ""a small car""; ""a little (or small) group"""
1203,long,Having much distance from one terminating point on an object or an area to another terminating point.,a01433493,long,"primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified; ""a long road""; ""a long distance""; ""contained many long words""; ""ten miles long"""
711,tall,Having a vertical extent greater than the average.,a02385102,tall,"great in vertical dimension; high in stature; ""tall people""; ""tall buildings""; ""tall trees""; ""tall ships"""
1645,short,Small in length by comparison.,a01436003,short,"(primarily spatial sense) having little length or lacking in length; ""short skirts""; ""short hair""; ""the board was a foot short""; ""a short toss"""
1243,wide,"Having a long distance or area between two points, especially horizontally.",a02560548,wide//broad,"having great (or a certain) extent from one side to the other; ""wide roads""; ""a wide necktie""; ""wide margins""; ""three feet wide""; ""a river two miles broad""; ""broad shoulders""; ""a broad river"""
1267,narrow,"(Of a path, cave etc.) having a small width.",a02561888,narrow,"not wide; ""a narrow bridge""; ""a narrow line across the page"""
1244,thick,Relatively large distance from one surface to the opposite in its smallest solid dimension.,a02410393,thick,"not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions; ""an inch thick""; ""a thick board""; ""a thick sandwich""; ""spread a thick layer of butter""; ""thick coating of dust""; ""thick warm blankets"""
2249,thin (of shape of object),Being narrow (of flat or long objects).,NA,NA,NA
1593,deep,Having a bottom or base that is far away from the top.,a00690058,deep,"having great spatial extension or penetration downward or inward from an outer surface or backward or laterally or outward from a center; sometimes used in combination; ""a deep well""; ""a deep dive""; ""deep water""; ""a deep casserole""; ""a deep gash""; ""deep massage""; ""deep pressure receptors in muscles""; ""deep shelves""; ""a deep closet""; ""surrounded by a deep yard""; ""hit the ball to deep center field""; ""in deep space""; ""waist-deep"""
193,shallow,Having little depth.,a00691696,shallow,"lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center; ""shallow water""; ""a shallow dish""; ""a shallow cut""; ""a shallow closet""; ""established a shallow beachhead""; ""hit the ball to shallow left field"""
1633,flat,Having no variations in altitude.,a00910101,flat//level//plane,"having a surface without slope, tilt in which no part is higher or lower than another; ""a flat desk""; ""acres of level farmland""; ""a plane surface""; ""skirts sewn with fine flat seams"""
1404,straight,Not crooked or bent; having a constant direction throughout its length.,a02310895,straight,"having no deviations; ""straight lines""; ""straight roads across the desert""; ""straight teeth""; ""straight shoulders"""
297,crooked,Opposite of straight.,a02311544,crooked,"having or marked by bends or angles; not straight or aligned; ""crooked country roads""; ""crooked teeth"""
1071,hook,"A rod bent into a curved shape, for catching, holding, or sustaining anything.",n03532342,hook,a curved or bent implement for suspending or pulling something
192,corner,The area around the point where two converging walls meet.,n03109881,corner//nook,"an interior angle formed by two meeting walls; ""a piano was in one corner of the room"""
1367,cross,"A geometrical figure consisting of two straight lines or bars bisecting each other, or any figure or object of similar shape.",n04681387,crisscross//cross//mark,a marking that consists of lines that cross each other
850,square,"A geometrical figure with four sides that meet each other on right angles, or something resembling its shape.",n13878951,square,something approximating the shape of a square
1395,round,Circular or having a circular cross-section in at least one direction.,a02040652,round//circular,having a circular shape
1467,circle,"A two-dimensional, geometric shape that is made up of every point on a plane which is equidistant from the centre. May be drawn with a pair of compasses.",n13873917,circle,"something approximating the shape of a circle; ""the chairs were arranged in a circle"""
1845,ball,Any spherical object.,n13899404,ball//globe//orb,"an object with a spherical shape; ""a ball of fire"""
1048,line,"An infinitely long, infinitely thin, not bent line in geometry.",n13863771,line,a length (straight or curved) without breadth or thickness; the trace of a moving point
1667,hole,"A, often round, piece of nothingness in some solid.",n09304465,hole,an opening into or through something
1558,similar,"Having some particular qualities or characteristics in common, but not all of them.",a02071420,similar,"marked by correspondence or resemblance; ""similar food at similar prices""; ""problems similar to mine""; ""they wore similar coats"""
1264,change,To make different or to become different.,v00126264,change//alter//modify,"cause to change; make different; cause a transformation; ""The advent of the automobile may have altered the growth pattern of the city""; ""The discussion has changed my thinking about the issue"""
1493,one,The natural number one (1).,a02186338,one//1//i//ane,"used of a single unit or thing; not two or more; ""`ane' is Scottish"""
1498,two,The natural number two (2).,a02186470,two//2//ii,"being one more than one; ""he received two messages"""
492,three,The natural number three (3).,a02186580,three//3//iii,being one more than two
